term,definition
虚构,"与 幻觉 的含义相同。

与“幻觉”相比，“虚构”可能是一个更准确的技术术语。
不过，幻觉一词先流行起来。"
配置,"分配用于训练模型的初始属性值的过程，包括：

模型的组成 层 数据的位置 超参数 ，例如： 学习速率 迭代次数 优化器 损失函数

在机器学习项目中，可以通过特殊的配置文件或使用以下配置库来完成配置：

HParam Gin Fiddle"
确认偏差,"一种以认可已有观念和假设的方式寻找、解读、支持和召回信息的倾向。
机器学习开发者可能会无意中以影响到支撑其现有观念的结果的方式收集或标记数据。确认偏差是一种 隐性偏差 。

实验者偏差 是一种确认偏差，实验者会不断地训练模型，直到模型的预测结果能证实他们先前的假设为止。"
混淆矩阵,"一种 NxN 表格，用于总结 分类模型 做出的正确和错误预测的数量。例如，请考虑以下二元分类模型的混淆矩阵：

上述混淆矩阵显示了以下内容：

在 19 个 标准答案 为“肿瘤”的预测中，模型正确分类了 18 个，错误分类了 1 个。 在标准答案为“非肿瘤”的 458 次预测中，模型正确分类了 452 次，错误分类了 6 次。

多类分类 问题的混淆矩阵可帮助您发现错误模式。例如，假设有一个 3 类多类分类模型，用于对三种不同的鸢尾花类型（维吉尼亚鸢尾、变色鸢尾和山鸢尾）进行分类，请看下面的混淆矩阵。当标准答案为 Virginica 时，混淆矩阵显示，模型更有可能错误地预测为 Versicolor，而不是 Setosa：

再举一个例子，某个混淆矩阵可以揭示，经过训练以识别手写数字的模型往往会将 4 错误地预测为 9，或将 7 错误地预测为 1。

混淆矩阵包含足够的信息来计算各种效果指标，包括 精确率 和 召回率 。"
成分句法分析,"将句子划分为较小的语法结构（“成分”）。
机器学习系统的后续部分（例如 自然语言理解 模型）可以比原始句子更轻松地解析构成要素。例如，请看以下句子：

成分句法分析器可以将此句子划分为以下两个成分：

我的朋友 是一个名词短语。 收养了两只猫 是一个动词短语。

这些组成部分可以进一步细分为更小的组成部分。
例如，动词短语

可进一步细分为：

adopted 是一个动词。 两只猫 是另一个名词短语。"
情境化语言嵌入,"一种 嵌入 ，能够以流利的人类说话者的方式“理解”字词和短语。情境化语言嵌入可以理解复杂的语法、语义和上下文。

例如，假设有英文单词 cow 的嵌入。像 word2vec 这样的旧版嵌入可以表示英语单词，使得 嵌入空间 中从 cow 到 bull 的距离与从 ewe （母羊）到 ram （公羊）或从 female 到 male 的距离相似。情境化语言嵌入可以更进一步，识别出英语使用者有时会随意使用 cow 一词来表示母牛或公牛。"
上下文窗口,模型可在给定 提示 中处理的 token 数量。上下文窗口越大，模型可用于提供连贯一致的 回答 的信息就越多。
连续特征,"一种浮点 特征 ，具有无限范围的可能值，例如温度或体重。

与 离散特征 相对。"
便利抽样,使用未以科学方法收集的数据集，以便快速运行实验。之后，务必改为使用以科学方法收集的数据集。
收敛,"当 损失 值在每次 迭代 中的变化非常小或根本没有变化时，即达到收敛状态。例如，以下 损失曲线 表明，模型在大约 700 次迭代时收敛：

如果继续训练无法改进模型，则表示模型已 收敛 。

在 深度学习 中，损失值有时会在许多次迭代中保持不变或几乎不变，然后才会最终下降。在损失值长时间保持不变的情况下，您可能会暂时产生错误的收敛感。

另请参阅 早停法 。

如需了解详情，请参阅机器学习速成课程中的 模型收敛和损失曲线 。"
对话式编码,"您与生成式 AI 模型之间为创建软件而进行的迭代对话。您发出一个描述某软件的提示。然后，模型会使用该说明生成代码。然后，您会发出新的提示，以解决之前提示或生成的代码中的缺陷，模型会生成更新后的代码。您二者会不断来回迭代，直到生成的软件足够好为止。

对话编码本质上就是 氛围编码 的原始含义。

与 规范化编码 相对。"
凸函数,"一种函数，函数图像以上的区域为 凸集 。典型的凸函数形状类似于字母 U 。例如，以下函数均为凸函数：

相比之下，以下函数不是凸函数。请注意，图表上方的区域不是凸集：

严格凸函数 只有一个局部最小值点，该点也是全局最小值点。经典的 U 形函数是严格凸函数。不过，有些凸函数（例如直线）则不是 U 形函数。

如需了解详情，请参阅机器学习速成课程中的 收敛和凸函数 。"
凸优化,"使用 梯度下降 等数学技巧来寻找 凸函数 的最小值。机器学习方面的大量研究都是专注于如何通过公式将各种问题表示成凸优化问题，以及如何更高效地解决这些问题。

如需完整的详细信息，请参阅 Boyd 和 Vandenberghe 合著的 Convex Optimization （《凸优化》）。"
凸集,"欧氏空间的一个子集，该子集中任意两点之间的连线完全位于该子集中。例如，以下两种形状是凸集：

相比之下，以下两种形状不是凸集："
卷积,"在数学中，简单来说，是指两个函数的混合。在机器学习中，卷积结合使用 卷积过滤器 和输入矩阵来训练 权重 。

机器学习中的“卷积”一词通常是 卷积运算 或 卷积层 的简称。

如果没有卷积，机器学习算法就需要学习大 张量 中每个单元各自的权重。例如，如果机器学习算法在 2K x 2K 的图片上进行训练，则必须找到 400 万个单独的权重。而使用卷积，机器学习算法只需算出 卷积过滤器 中每个单元的权重，大大减少了训练模型所需的内存。应用卷积滤波器时，只需在各个单元格中复制该滤波器，使每个单元格都乘以该滤波器。

如需了解详情，请参阅图像分类课程中的 卷积神经网络简介 。"
卷积滤波器,"卷积运算 中的两个参与方之一。（另一个 actor 是输入矩阵的一个切片。）卷积过滤器是一种矩阵，其 秩 与输入矩阵相同，但形状小一些。例如，如果输入矩阵为 28x28，则滤波器可以是任何小于 28x28 的二维矩阵。

在照片处理中，卷积滤波器中的所有单元格通常都设置为由 1 和 0 组成的恒定模式。在机器学习中，卷积过滤器通常以随机数作为初始值，然后网络会 训练 出理想值。

如需了解详情，请参阅图片分类课程中的 卷积 。"
卷积层,"深度神经网络 的一个层， 卷积过滤器 会在其中传递输入矩阵。以下面的 3x3 卷积过滤器 为例：

以下动画展示了一个卷积层，其中包含 9 个涉及 5x5 输入矩阵的卷积运算。请注意，每个卷积运算都针对输入矩阵的不同 3x3 切片进行运算。生成的 3x3 矩阵（右侧）包含 9 次卷积运算的结果：

如需了解详情，请参阅图片分类课程中的 全连接层 。"
卷积神经网络,"一种 神经网络 ，其中至少有一层为 卷积层 。典型的卷积神经网络由以下层的某种组合构成：

卷积层 池化层 密集层

卷积神经网络在某些类型的问题（例如图像识别）中取得了巨大成功。"
卷积运算,"如下所示的两步数学运算：

对 卷积过滤器 和输入矩阵切片执行元素级乘法。（输入矩阵切片与卷积过滤器具有相同的秩和大小。） 对生成的积矩阵中的所有值求和。

例如，考虑以下 5x5 输入矩阵：

现在，假设有以下 2x2 卷积过滤器：

每个卷积运算都涉及输入矩阵的单个 2x2 切片。例如，假设我们使用输入矩阵左上角的 2x2 切片。因此，此切片的卷积运算如下所示：

卷积层 由一系列卷积运算组成，每个卷积运算都针对不同的输入矩阵切片。"
费用,与 损失 的含义相同。
共同训练,"一种 半监督式学习 方法，在满足以下所有条件时特别有用：

数据集中的 未加标签的示例 与 已加标签的示例 的比率较高。 这是一个分类问题（ 二元 或 多类别 ）。 数据集 包含两组不同的预测性特征，这些特征相互独立且互为补充。

共同训练实际上是将独立信号放大为更强的信号。例如，假设有一个 分类模型 ，用于将每辆二手车归类为 好 或 坏 。一组预测性特征可能侧重于汽车的年份、品牌和型号等汇总特征；另一组预测性特征可能侧重于前车主的驾驶记录和汽车的保养历史记录。

关于协同训练的开创性论文是 Blum 和 Mitchell 撰写的 结合使用带标签和不带标签的数据进行协同训练 。"
